ticket_id,opened_at,priority,category,subcategory,location,requester_role,assigned_tier,escalated,first_response_at,resolved_at,status,kb_article,reopened,resolution
INC100001,2026-01-05 16:37,P3,Label Printer,Labels blank or faded,Core Lab,Provider,1,0,2026-01-05 17:35,2026-01-06 12:55,Resolved,KB-001,0,Replaced ribbon and label stock
INC100002,2026-01-06 00:21,P2,Analyzer Interface,Interface queue backed up,Blood Bank,Provider,3,1,2026-01-06 00:37,2026-01-06 19:43,Resolved,KB-003,0,Cleared stuck message and released queue
INC100003,2026-01-06 07:12,P4,LIS Access,Missing security role,Outpatient Draw,Bench tech,2,0,2026-01-06 13:01,2026-01-08 16:05,Resolved,KB-009,0,Added security role after manager approval
INC100004,2026-01-07 03:21,P3,Order / Accession,Order cancelled after collection,Microbiology,Phlebotomist,2,0,2026-01-07 04:43,2026-01-07 20:53,Resolved,,0,Reinstated order and notified provider
INC100005,2026-01-07 08:04,P3,LIS Access,Password expired,Core Lab,Lab supervisor,1,0,2026-01-07 15:48,2026-01-09 02:09,Resolved,KB-002,0,Reset password and verified login
INC100006,2026-01-07 09:06,P2,Result Correction,Corrected report needed,Core Lab,Nurse,2,0,2026-01-07 09:19,2026-01-07 14:23,Resolved,KB-005,0,Issued corrected report and notified provider
INC100007,2026-01-08 03:50,P3,LIS Access,Password expired,Core Lab,Nurse,1,0,2026-01-08 05:50,2026-01-08 11:32,Resolved,KB-002,0,Reset password and verified login
INC100008,2026-01-09 06:21,P2,Analyzer Interface,Results not crossing to LIS,Blood Bank,Lab supervisor,3,1,2026-01-09 06:39,2026-01-10 00:14,Resolved,KB-003,0,Restarted interface connection and resent results
INC100009,2026-01-09 08:45,P2,Analyzer Interface,Interface queue backed up,Core Lab,Provider,2,0,2026-01-09 09:27,2026-01-09 11:25,Resolved,KB-003,0,Cleared stuck message and released queue
INC100010,2026-01-10 11:29,P3,Label Printer,Wrong default printer,Outpatient Draw,Nurse,1,0,2026-01-10 13:53,2026-01-11 12:08,Resolved,KB-001,1,Reassigned workstation default printer
INC100011,2026-01-10 16:15,P3,Order / Accession,Order cancelled after collection,Microbiology,Bench tech,2,0,2026-01-10 17:43,2026-01-11 03:48,Resolved,KB-004,0,Reinstated order and notified provider
INC100012,2026-01-11 08:40,P3,Label Printer,Printer not printing,Outpatient Draw,Provider,1,0,2026-01-11 17:45,2026-01-11 20:39,Resolved,KB-001,0,Cleared jam and restarted printer
INC100013,2026-01-11 11:19,P3,Worklist,Worklist not refreshing,Outpatient Draw,Phlebotomist,1,0,2026-01-11 12:22,2026-01-11 16:30,Resolved,KB-006,0,Refreshed session and cleared cache
INC100014,2026-01-11 15:41,P4,LIS Access,Missing security role,Core Lab,Bench tech,2,0,2026-01-11 19:11,2026-01-13 21:54,Resolved,KB-009,0,Added security role after manager approval
INC100015,2026-01-11 19:21,P4,LIS Access,Missing security role,Blood Bank,Bench tech,2,0,2026-01-11 23:23,2026-01-13 02:18,Resolved,KB-009,0,Added security role after manager approval
INC100016,2026-01-12 01:37,P3,Order / Accession,Duplicate order,Outpatient Draw,Phlebotomist,1,0,2026-01-12 04:47,2026-01-12 19:40,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100017,2026-01-12 07:00,P3,Label Printer,Labels blank or faded,Outpatient Draw,Nurse,1,0,2026-01-12 09:59,2026-01-12 15:23,Resolved,,0,Replaced ribbon and label stock
INC100018,2026-01-12 07:26,P2,Analyzer Interface,Interface queue backed up,Core Lab,Lab supervisor,2,0,2026-01-12 07:32,2026-01-12 13:33,Resolved,KB-003,0,Cleared stuck message and released queue
INC100019,2026-01-12 07:31,P3,LIS Access,Account locked out,Outpatient Draw,Lab supervisor,1,0,2026-01-12 16:53,2026-01-12 11:19,Resolved,KB-002,0,Unlocked account and verified login
INC100020,2026-01-12 08:02,P3,LIS Access,Account locked out,Emergency Dept,Nurse,1,0,2026-01-12 08:54,2026-01-12 15:28,Resolved,,0,Unlocked account and verified login
INC100021,2026-01-12 08:32,P3,LIS Access,Account locked out,Outpatient Draw,Nurse,1,0,2026-01-12 11:47,2026-01-12 19:46,Resolved,KB-002,0,Unlocked account and verified login
INC100022,2026-01-12 16:33,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Nurse,2,0,2026-01-12 16:49,2026-01-12 19:51,Resolved,KB-003,0,Re-established instrument connection
INC100023,2026-01-13 19:55,P4,Downtime,Planned downtime question,Blood Bank,Nurse,1,0,2026-01-14 00:36,2026-01-14 07:07,Resolved,KB-008,0,Sent downtime schedule and procedure
INC100024,2026-01-14 11:22,P3,Worklist,Worklist not refreshing,ICU,Nurse,1,0,2026-01-14 13:21,2026-01-14 19:10,Resolved,KB-006,0,Refreshed session and cleared cache
INC100025,2026-01-14 12:16,P2,Result Correction,Result filed to wrong test,Blood Bank,Lab supervisor,2,0,2026-01-14 12:35,2026-01-14 18:14,Resolved,KB-005,0,Issued corrected report and notified provider
INC100026,2026-01-14 13:32,P1,Downtime,Unplanned LIS downtime,Blood Bank,Phlebotomist,3,1,2026-01-14 13:44,2026-01-14 16:35,Resolved,KB-008,0,Vendor restored service; downtime results backloaded
INC100027,2026-01-14 15:25,P1,Downtime,Unplanned LIS downtime,Blood Bank,Lab supervisor,3,1,2026-01-14 15:35,2026-01-14 18:41,Resolved,KB-008,0,Vendor restored service; downtime results backloaded
INC100028,2026-01-14 21:07,P2,Analyzer Interface,Interface queue backed up,Core Lab,Lab supervisor,3,1,2026-01-14 21:17,2026-01-15 18:59,Resolved,KB-003,0,Cleared stuck message and released queue
INC100029,2026-01-15 19:04,P3,Label Printer,Wrong default printer,ICU,Phlebotomist,1,0,2026-01-15 22:30,2026-01-16 08:14,Resolved,KB-001,0,Reassigned workstation default printer
INC100030,2026-01-16 14:32,P3,LIS Access,Password expired,Emergency Dept,Provider,1,0,2026-01-16 18:00,2026-01-18 12:27,Resolved,KB-002,0,Reset password and verified login
INC100031,2026-01-16 16:55,P3,Label Printer,Labels blank or faded,Core Lab,Phlebotomist,1,0,2026-01-16 18:53,2026-01-16 21:35,Resolved,,0,Replaced ribbon and label stock
INC100032,2026-01-16 20:28,P3,Order / Accession,Duplicate order,Core Lab,Provider,1,0,2026-01-16 22:25,2026-01-17 09:32,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100033,2026-01-17 11:44,P2,Analyzer Interface,Interface queue backed up,Core Lab,Bench tech,2,0,2026-01-17 12:07,2026-01-17 13:34,Resolved,KB-003,0,Cleared stuck message and released queue
INC100034,2026-01-17 11:53,P1,Downtime,Unplanned LIS downtime,Core Lab,Nurse,3,1,2026-01-17 12:02,2026-01-17 14:09,Resolved,KB-008,0,Vendor restored service; downtime results backloaded
INC100035,2026-01-17 22:13,P3,Label Printer,Wrong default printer,ICU,Nurse,1,0,2026-01-17 23:27,2026-01-18 04:44,Resolved,KB-001,0,Reassigned workstation default printer
INC100036,2026-01-18 00:16,P2,QC Lockout,New QC lot not built,Core Lab,Lab supervisor,2,0,2026-01-18 00:36,2026-01-18 02:42,Resolved,KB-007,0,Built QC lot and ranges in LIS
INC100037,2026-01-18 06:06,P3,Label Printer,Labels blank or faded,Emergency Dept,Nurse,1,0,2026-01-18 09:09,2026-01-18 21:57,Resolved,,0,Replaced ribbon and label stock
INC100038,2026-01-19 09:27,P3,LIS Access,Account locked out,Outpatient Draw,Provider,1,0,2026-01-19 10:44,2026-01-20 05:19,Resolved,,0,Unlocked account and verified login
INC100039,2026-01-19 10:07,P3,Label Printer,Wrong default printer,Emergency Dept,Lab supervisor,1,0,2026-01-19 12:47,2026-01-19 23:06,Resolved,KB-001,1,Reassigned workstation default printer
INC100040,2026-01-19 15:34,P1,Downtime,Unplanned LIS downtime,Blood Bank,Nurse,3,1,2026-01-19 15:41,2026-01-19 17:26,Resolved,,0,Vendor restored service; downtime results backloaded
INC100041,2026-01-19 17:10,P3,LIS Access,Password expired,Blood Bank,Bench tech,1,0,2026-01-19 20:34,2026-01-20 06:26,Resolved,KB-002,0,Reset password and verified login
INC100042,2026-01-19 19:41,P3,Label Printer,Wrong default printer,Outpatient Draw,Lab supervisor,1,0,2026-01-19 21:05,2026-01-20 06:52,Resolved,KB-001,0,Reassigned workstation default printer
INC100043,2026-01-20 02:29,P3,Label Printer,Labels blank or faded,Core Lab,Lab supervisor,1,0,2026-01-20 05:18,2026-01-20 14:25,Resolved,KB-001,0,Replaced ribbon and label stock
INC100044,2026-01-21 09:03,P3,Label Printer,Wrong default printer,Emergency Dept,Phlebotomist,1,0,2026-01-21 11:57,2026-01-22 16:43,Resolved,KB-001,0,Reassigned workstation default printer
INC100045,2026-01-21 11:58,P2,Result Correction,Result filed to wrong test,Core Lab,Bench tech,2,0,2026-01-21 12:10,2026-01-21 14:04,Resolved,,0,Issued corrected report and notified provider
INC100046,2026-01-22 02:34,P2,QC Lockout,New QC lot not built,Core Lab,Phlebotomist,2,0,2026-01-22 02:54,2026-01-22 09:15,Resolved,KB-007,0,Built QC lot and ranges in LIS
INC100047,2026-01-22 09:15,P2,QC Lockout,QC failure blocking results,Core Lab,Phlebotomist,2,0,2026-01-22 09:23,2026-01-22 12:37,Resolved,KB-007,0,"Reviewed QC, recalibrated, released hold"
INC100048,2026-01-22 12:18,P3,Label Printer,Printer not printing,Blood Bank,Lab supervisor,1,0,2026-01-22 14:46,2026-01-23 03:11,Resolved,KB-001,0,Cleared jam and restarted printer
INC100049,2026-01-22 15:04,P3,LIS Access,Account locked out,ICU,Lab supervisor,1,0,2026-01-22 23:06,2026-01-23 02:03,Resolved,KB-002,0,Unlocked account and verified login
INC100050,2026-01-22 16:31,P2,QC Lockout,QC failure blocking results,Core Lab,Lab supervisor,2,0,2026-01-22 16:57,2026-01-22 22:47,Resolved,,1,"Reviewed QC, recalibrated, released hold"
INC100051,2026-01-22 19:29,P4,Downtime,Planned downtime question,Blood Bank,Phlebotomist,1,0,2026-01-22 22:56,2026-01-25 04:32,Resolved,,1,Sent downtime schedule and procedure
INC100052,2026-01-22 20:46,P2,Result Correction,Corrected report needed,Blood Bank,Provider,2,0,2026-01-22 21:00,2026-01-23 01:09,Resolved,KB-005,0,Issued corrected report and notified provider
INC100053,2026-01-24 07:13,P3,Order / Accession,Duplicate order,Core Lab,Lab supervisor,1,0,2026-01-24 08:11,2026-01-25 19:17,Resolved,,0,Cancelled duplicate with provider approval
INC100054,2026-01-24 16:50,P3,Label Printer,Wrong default printer,Emergency Dept,Provider,1,0,2026-01-24 18:58,2026-01-25 03:10,Resolved,,0,Reassigned workstation default printer
INC100055,2026-01-24 22:28,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Nurse,3,1,2026-01-24 22:35,2026-01-25 18:36,Resolved,,0,Re-established instrument connection
INC100056,2026-01-25 07:44,P2,Analyzer Interface,Results not crossing to LIS,Microbiology,Phlebotomist,2,0,2026-01-25 07:50,2026-01-25 10:58,Resolved,,0,Restarted interface connection and resent results
INC100057,2026-01-25 10:13,P3,Order / Accession,Duplicate order,Outpatient Draw,Nurse,1,0,2026-01-25 12:55,2026-01-25 15:00,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100058,2026-01-25 16:35,P3,Label Printer,Labels blank or faded,Outpatient Draw,Lab supervisor,1,0,2026-01-25 21:24,2026-01-26 11:01,Resolved,KB-001,0,Replaced ribbon and label stock
INC100059,2026-01-25 17:06,P2,QC Lockout,New QC lot not built,Core Lab,Bench tech,2,0,2026-01-25 17:16,2026-01-25 22:52,Resolved,,0,Built QC lot and ranges in LIS
INC100060,2026-01-26 15:18,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Lab supervisor,2,0,2026-01-26 15:41,2026-01-26 20:42,Resolved,KB-003,0,Re-established instrument connection
INC100061,2026-01-27 08:20,P1,Downtime,Unplanned LIS downtime,Outpatient Draw,Nurse,3,1,2026-01-27 08:23,2026-01-27 10:53,Resolved,KB-008,0,Vendor restored service; downtime results backloaded
INC100062,2026-01-27 10:46,P3,Label Printer,Wrong default printer,Outpatient Draw,Phlebotomist,1,0,2026-01-27 11:34,2026-01-28 02:09,Resolved,,0,Reassigned workstation default printer
INC100063,2026-01-27 13:31,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Phlebotomist,3,1,2026-01-27 13:46,2026-01-27 19:10,Resolved,KB-003,0,Re-established instrument connection
INC100064,2026-01-27 22:40,P2,QC Lockout,QC failure blocking results,Core Lab,Lab supervisor,2,0,2026-01-27 22:55,2026-01-28 05:02,Resolved,KB-007,0,"Reviewed QC, recalibrated, released hold"
INC100065,2026-01-28 12:22,P3,Label Printer,Labels blank or faded,Outpatient Draw,Nurse,1,0,2026-01-28 14:50,2026-01-29 06:45,Resolved,KB-001,0,Replaced ribbon and label stock
INC100066,2026-01-28 17:49,P3,Label Printer,Labels blank or faded,ICU,Provider,1,0,2026-01-28 21:06,2026-01-29 04:57,Resolved,KB-001,0,Replaced ribbon and label stock
INC100067,2026-01-29 07:54,P3,LIS Access,Password expired,Outpatient Draw,Provider,1,0,2026-01-29 10:08,2026-01-29 12:57,Resolved,KB-002,0,Reset password and verified login
INC100068,2026-01-29 08:30,P2,QC Lockout,QC failure blocking results,Core Lab,Lab supervisor,2,0,2026-01-29 08:47,2026-01-29 11:17,Resolved,KB-007,0,"Reviewed QC, recalibrated, released hold"
INC100069,2026-01-30 13:08,P3,LIS Access,Account locked out,Outpatient Draw,Nurse,1,0,2026-01-30 14:11,2026-01-31 03:30,Resolved,KB-002,0,Unlocked account and verified login
INC100070,2026-01-30 17:08,P2,Analyzer Interface,Results not crossing to LIS,Blood Bank,Bench tech,3,1,2026-01-30 17:32,2026-01-31 14:58,Resolved,,0,Restarted interface connection and resent results
INC100071,2026-01-30 17:15,P2,Analyzer Interface,Results not crossing to LIS,Microbiology,Bench tech,2,0,2026-01-30 17:33,2026-01-30 21:04,Resolved,KB-003,0,Restarted interface connection and resent results
INC100072,2026-01-30 23:58,P4,Downtime,Planned downtime question,Microbiology,Nurse,1,0,2026-01-31 06:47,2026-02-01 00:34,Resolved,KB-008,0,Sent downtime schedule and procedure
